Model,Language,Total Error Rate,Logical Error Rate,Syntax Error Rate,All Test Passed Rate,Code Completion Rate,Average Code Length
Mistral-7B-Instruct-v0.3-CoT,ja,86.77,31.91,54.86,13.23,86.77,145.27
Mistral-7B-Instruct-v0.3-CoT,ru,84.05,30.74,53.31,15.95,89.49,143.08
Mistral-7B-Instruct-v0.3-CoT,zh-cn,87.16,30.74,56.42,12.84,90.66,131.94
Mistral-7B-Instruct-v0.3-FT-GPT,en,92.61,28.41,64.2,7.39,98.83,243.44
Mistral-7B-Instruct-v0.3-FT-GPT,es,94.94,26.46,68.48,5.06,99.22,244.54
Mistral-7B-Instruct-v0.3-FT-GPT,hi,98.83,24.12,74.71,1.17,96.89,209.33
Mistral-7B-Instruct-v0.3-FT-GPT,ja,96.11,28.02,68.09,3.89,98.83,238.97
Mistral-7B-Instruct-v0.3-FT-GPT,ru,95.33,26.85,68.48,4.67,99.22,249.18
Mistral-7B-Instruct-v0.3-FT-GPT,zh-cn,94.55,26.07,68.48,5.45,98.83,238.18
Mistral-7B-instruct-v0.3-LASER,en,83.27,27.24,56.03,16.73,93.77,134.91
Mistral-7B-instruct-v0.3-LASER,es,84.82,26.06,58.76,15.18,96.11,136.66
Mistral-7B-instruct-v0.3-LASER,hi,92.22,30.74,61.48,7.78,93.0,129.18
Mistral-7B-instruct-v0.3-LASER,ja,87.55,22.57,64.98,12.45,96.5,181.45
Mistral-7B-instruct-v0.3-LASER,ru,84.05,24.13,59.92,15.95,95.33,151.77
Mistral-7B-instruct-v0.3-LASER,zh-cn,84.05,26.85,57.2,15.95,93.0,154.24
codegemma7b-instruct,en,82.1,41.63,40.47,17.9,72.76,241.07
codegemma7b-instruct,es,86.38,47.86,38.52,13.62,68.48,268.72
codegemma7b-instruct,hi,89.49,49.41,40.08,10.51,68.48,276.45
codegemma7b-instruct,ja,83.66,38.91,44.75,16.34,77.82,238.18
codegemma7b-instruct,ru,85.99,42.41,43.58,14.01,76.65,264.22
codegemma7b-instruct,zh-cn,84.82,39.68,45.14,15.18,77.43,254.28
codegemma7b-instruct-CoT,es,89.1,42.02,47.08,10.9,70.04,279.41
codegemma7b-instruct-CoT,hi,91.05,50.58,40.47,8.95,61.09,268.51
codegemma7b-instruct-CoT,ja,90.27,44.75,45.52,9.73,69.65,276.09
codegemma7b-instruct-CoT,ru,88.72,48.25,40.47,11.28,66.93,255.31
codegemma7b-instruct-CoT,zh-cn,86.38,48.64,37.74,13.62,65.37,286.98
codegemma7b-instruct-FT-GPT (1),en,92.22,63.04,29.18,7.78,45.91,148.27
codegemma7b-instruct-FT-GPT (1),es,91.05,57.59,33.46,8.95,50.97,145.06
codegemma7b-instruct-FT-GPT (1),hi,94.16,74.71,19.45,5.84,38.13,153.38
codegemma7b-instruct-FT-GPT (1),ja,91.05,50.58,40.47,8.95,66.93,158.91
codegemma7b-instruct-FT-GPT (1),ru,89.1,59.53,29.57,10.9,53.31,134.11
codegemma7b-instruct-FT-GPT (1),zh-cn,93.0,62.26,30.74,7.0,47.86,151.05
codegemma7b-instruct-LASER,en,77.04,25.68,51.36,22.96,96.5,323.53
codegemma7b-instruct-LASER,es,77.82,24.51,53.31,22.18,95.72,349.24
codegemma7b-instruct-LASER,hi,81.71,29.18,52.53,18.29,97.67,344.02
codegemma7b-instruct-LASER,ja,79.77,24.13,55.64,20.23,96.89,270.59
codegemma7b-instruct-LASER,ru,77.04,25.68,51.36,22.96,97.28,335.52
codegemma7b-instruct-LASER,zh-cn,79.38,28.02,51.36,20.62,95.33,301.57
codelamma-7b-instruct,en,87.16,63.04,24.12,12.84,46.3,84.9
codelamma-7b-instruct,es,79.77,28.8,50.97,20.23,86.77,101.07
codelamma-7b-instruct,hi,96.5,65.37,31.13,3.5,43.19,64.23
codelamma-7b-instruct,ja,89.49,50.58,38.91,10.51,61.87,78.74
codelamma-7b-instruct,ru,82.1,39.69,42.41,17.9,80.16,84.31
codelamma-7b-instruct,zh-cn,93.77,77.43,16.34,6.23,27.24,74.71
codelamma-7b-instruct-CoT,es,91.83,56.81,35.02,8.17,52.92,87.9
codelamma-7b-instruct-CoT,hi,97.66,61.08,36.58,2.34,52.53,81.6
codelamma-7b-instruct-CoT,ja,84.82,52.91,31.91,15.18,61.87,89.52
codelamma-7b-instruct-CoT,ru,86.38,61.87,24.51,13.62,52.14,85.19
codelamma-7b-instruct-CoT,zh-cn,96.5,73.15,23.35,3.5,33.46,78.03
codelamma-7b-instruct-FT-GPT,en,82.1,28.79,53.31,17.9,91.83,134.18
codelamma-7b-instruct-FT-GPT,es,81.71,26.07,55.64,18.29,91.05,136.47
codelamma-7b-instruct-FT-GPT,hi,96.5,61.87,34.63,3.5,50.19,95.14
codelamma-7b-instruct-FT-GPT,ja,84.82,34.24,50.58,15.18,85.6,131.67
codelamma-7b-instruct-FT-GPT,ru,85.21,31.51,53.7,14.79,91.05,133.14
codelamma-7b-instruct-FT-GPT,zh-cn,88.72,35.41,53.31,11.28,90.27,132.69
codelamma-7b-instruct-LASER,en,75.49,22.57,52.92,24.51,97.28,111.67
codelamma-7b-instruct-LASER,es,81.71,24.9,56.81,18.29,95.72,124.46
codelamma-7b-instruct-LASER,hi,95.72,25.29,70.43,4.28,98.44,118.85
codelamma-7b-instruct-LASER,ja,84.44,22.96,61.48,15.56,98.44,123.29
codelamma-7b-instruct-LASER,ru,82.88,23.35,59.53,17.12,99.22,118.45
codelamma-7b-instruct-LASER,zh-cn,82.1,26.46,55.64,17.9,98.05,131.94
