Model,Language,Code Completion Rate,Logical Error Rate,Syntax Error Rate,All Test Passed Rate,Average Code Length
codelamma-7b-instruct,hi,43.19,65.37,31.13,3.5,64.23
codelamma-7b-instruct,ja,61.87,50.58,38.91,10.51,78.74
codelamma-7b-instruct,ru,80.16,39.69,42.41,17.9,84.31
codelamma-7b-instruct,zh-cn,27.24,77.43,16.34,6.23,74.71
codelamma-7b-instruct-direct-translation,es,52.92,56.81,35.02,8.17,87.9
codelamma-7b-instruct-direct-translation,hi,52.53,61.08,36.58,2.34,81.6
codelamma-7b-instruct-direct-translation,ja,61.87,52.91,31.91,15.18,89.52
codelamma-7b-instruct-direct-translation,ru,52.14,61.87,24.51,13.62,85.19
codelamma-7b-instruct-direct-translation,zh-cn,33.46,73.15,23.35,3.5,78.03
codelamma-7b-python,en,31.52,75.49,17.51,7.0,69.41
codelamma-7b-python,es,56.81,54.86,32.3,12.84,85.81
codelamma-7b-python,hi,13.23,89.1,10.12,0.78,55.29
codelamma-7b-python,ja,75.1,43.58,42.8,13.62,74.8
codelamma-7b-python,ru,66.15,47.08,39.3,13.62,72.93
codelamma-7b-python,zh-cn,30.35,73.93,19.45,6.62,72.19
codelamma-7b-python-direct-translation,es,56.42,56.42,29.18,14.4,82.43
codelamma-7b-python-direct-translation,hi,16.73,87.15,10.51,2.34,63.47
codelamma-7b-python-direct-translation,ja,63.42,52.14,33.46,14.4,77.08
codelamma-7b-python-direct-translation,ru,68.87,46.31,37.74,15.95,78.71
codelamma-7b-python-direct-translation,zh-cn,34.63,70.43,20.23,9.34,74.15
